subject,stimtype,task,s,contrast_id,Chat,g,tf,resp,rt,C
1,grate,A,8.86552,6,1,1,1,5,0.878274,1
1,grate,A,1.78774,4,1,1,0,5,0.655106,-1
1,grate,A,1.33031,6,-1,1,1,4,1.32056,-1
1,grate,A,-4.25222,4,-1,1,1,4,1.36698,-1
1,grate,A,-7.11368,5,-1,1,1,4,0.96384,-1
1,grate,A,6.98048,5,-1,1,0,4,1.44085,1
1,grate,A,0.883036,5,-1,1,1,4,1.35483,-1
1,grate,A,8.03154,6,1,1,1,5,1.00052,1
1,grate,A,-8.13691,6,-1,1,1,4,0.915734,-1
1,grate,A,10.6323,5,1,1,1,5,0.994432,1
1,grate,A,9.53638,3,1,1,1,5,1.5181,1
1,grate,A,-3.7421,2,-1,1,1,4,1.90886,-1
1,grate,A,-3.77874,5,-1,1,1,4,1.13195,-1
1,grate,A,7.08266,3,1,1,1,5,0.994007,1
1,grate,A,3.55666,3,1,1,1,5,0.846334,1
1,grate,A,-7.11207,5,-1,1,1,4,0.912021,-1
1,grate,A,1.0599,6,-1,1,0,4,1.05559,1
1,grate,A,0.651177,5,-1,1,1,4,1.01663,-1
1,grate,A,6.36795,1,1,1,1,5,2.08351,1
1,grate,A,-1.32272,4,-1,1,1,4,1.17129,-1
1,grate,A,0.689507,3,-1,1,0,4,1.89615,1
1,grate,A,-3.18462,1,-1,2,1,3,2.38372,-1
1,grate,A,-3.48735,2,-1,2,1,3,1.57202,-1
1,grate,A,-7.84186,3,-1,2,1,3,1.52881,-1
1,grate,A,2.52672,1,1,1,1,5,2.76703,1
1,grate,A,5.79028,6,-1,1,0,4,1.44367,1
1,grate,A,-6.00035,5,-1,1,1,4,0.957806,-1
1,grate,A,3.56357,2,-1,1,1,4,1.94699,-1
1,grate,A,-3.09135,1,1,1,0,5,1.1045,-1
1,grate,A,5.12849,1,1,1,1,5,1.23971,1
1,grate,A,-5.78266,2,-1,1,0,4,1.19387,1
1,grate,A,-6.34049,3,-1,1,1,4,1.03807,-1
1,grate,A,8.08759,3,1,1,1,5,0.967577,1
1,grate,A,9.76848,4,1,1,1,5,0.692625,1
1,grate,A,1.32051,6,1,1,0,5,1.0686,-1
1,grate,A,3.38363,2,1,1,1,5,1.1251,1
1,grate,A,3.26024,5,-1,1,0,4,1.09983,1
