subject_name,session_start_time,task,block_type,block_no,section_no,stim_type,stim_category,stim_reliability,stim_orientation,stim_phase,resp_buttonid,resp_category,resp_confidence,resp_rt,resp_correct,resp_rtConf
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.016572675401761255,-2.858637660668102,209.99825168407014,-1,-1,1,0.410039137059357,1,0.14050917618442327
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.004086771438464067,3.8046875171425434,334.6179073742414,-1,-1,1,0.30520744432578795,0,0.1766719039878808
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.004086771438464067,1.5421525813008032,42.94388559979761,-1,-1,1,0.31500630045775324,1,0.12018921002163552
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.03337326996032608,5.329794535751002,357.8240154453608,2,1,2,0.3798093467776198,1,0.17009528813650832
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.00822974704902003,-8.14679990877406,191.3759625502369,-1,-1,1,0.42490563716273755,0,0.14573653702973388
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.06720551273974976,15.649598577377596,187.11667577761173,3,1,3,0.4807446527702268,1,0.17018091946374625
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.00822974704902003,-1.1301273281143958,279.4310076028324,-2,-1,2,0.48987064536777325,1,0.19000922702252865
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.00822974704902003,-1.4728708025154371,189.33551000819097,1,1,1,0.46171364685869776,0,0.16012965931440704
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.004086771438464067,7.098160258338687,70.1926394988976,-1,-1,1,0.27517521553090774,0,0.1199534832558129
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.1353352832366127,5.005135250843846,149.49710996856905,2,1,2,0.4352920461969916,0,0.11041697332984768
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.00822974704902003,1.146263449823657,295.05245620036396,-1,-1,1,0.5504418353084475,1,0.44990293512819335
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.03337326996032608,1.1046238228900507,215.77029551641627,-1,-1,1,0.34492178840446286,0,0.14002553548198193
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.1353352832366127,0.9206122244863046,177.9961924108267,-1,-1,1,0.42071643614326604,1,0.1554484789376147
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.1353352832366127,2.0425933668871243,205.74027582705048,-1,-1,1,0.3355247902509291,1,0.18564940473879687
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,1,0.03337326996032608,8.921803016857618,187.0804899004766,-1,-1,1,0.3253186240035575,0,0.2501128120929934
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.06720551273974976,-0.18401962782239115,244.2511869434584,-1,-1,1,0.4850454631668981,1,0.14524519912083633
jeh,2016-02-11 16:48:55,B,Test,1,0,grate,-1,0.03337326996032608,0.11916827212921909,56.645803191850575,-1,-1,1,0.41527291224338114,1,0.15519350921385922
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.1353352832366127,-0.8550471905731762,49.02192016472626,-1,-1,1,0.5755930772575084,1,0.14537220291094854
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.03337326996032608,-2.5524640392106095,32.80156650659877,-1,-1,1,0.4153979917464312,1,0.1501704448601231
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.00822974704902003,-2.556312915309304,233.09346051709076,-1,-1,1,0.46988775237696245,1,0.17569307671510614
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.06720551273974976,-1.5841857225129439,130.23132190847286,-1,-1,1,0.3449586708447896,0,0.515116498718271
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,1,0.06720551273974976,21.738804039876698,34.98734916522964,3,1,3,0.37048643417074345,1,0.1552679154847283
jeh,2016-02-11 16:48:55,B,Test,1,1,grate,-1,0.06720551273974976,-0.3971814006806369,242.91854965134112,-2,-1,2,0.3452768217830453,1,0.1751106552546844
