subject_name,task,block_type,stim_type,stim_category,stim_orientation,stim_cue_validity,stim_cue_validity_id,resp_confidence,resp_correct,resp_category,resp_rt
hsv,B,Test,grate,1,-7.388602747132387,1,1,2,0,-1,4.392524154041894
hsv,B,Test,grate,-1,1.089993382805779,1,1,3,1,-1,1.478800098062493
hsv,B,Test,grate,-1,-0.8191652097285413,1,1,3,1,-1,0.8908190809888765
hsv,B,Test,grate,1,-5.935016503399709,-1,3,2,0,-1,1.2532779389293864
hsv,B,Test,grate,-1,0.5511600489275885,-1,3,3,1,-1,1.8072077529504895
hsv,B,Test,grate,1,13.726420649747709,1,1,3,1,1,0.8498876040102914
hsv,B,Test,grate,-1,0.35044552596098233,1,1,3,1,-1,0.8933429179014638
hsv,B,Test,grate,-1,2.962993374270596,1,1,3,1,-1,0.7448449889197946
hsv,B,Test,grate,1,-13.014203124295232,0,2,3,1,1,1.583694338100031
hsv,B,Test,grate,1,0.617014773545718,1,1,3,0,-1,0.8043799680890515
hsv,B,Test,grate,-1,4.016789142439787,1,1,3,1,-1,0.9588233679533005
hsv,B,Test,grate,1,2.0221548501165914,1,1,3,0,-1,0.7682513550389558
hsv,B,Test,grate,1,-12.3539972349967,-1,3,4,1,1,1.0544317740714177
hsv,B,Test,grate,1,0.36750484166942177,0,2,3,1,1,1.3942143350141123
hsv,B,Test,grate,1,-18.52588897416017,1,1,4,1,1,0.43886475497856736
hsv,B,Test,grate,1,10.702316687589686,1,1,4,1,1,0.5693704420700669
hsv,B,Test,grate,1,8.768482734359734,-1,3,3,1,1,1.6174195479834452
hsv,B,Test,grate,1,10.406139888078322,0,2,4,1,1,1.321155885932967
hsv,B,Test,grate,-1,-4.033192567110296,1,1,3,1,-1,0.8628319039708003
hsv,B,Test,grate,-1,5.646873283817559,1,1,3,1,-1,1.3264669619966298
hsv,B,Test,grate,-1,1.1773350397456905,0,2,3,1,-1,1.2476754270028323
hsv,B,Test,grate,-1,0.6245144741781936,-1,3,2,1,-1,1.3063028309261426
hsv,B,Test,grate,1,-1.1025321121013736,1,1,3,0,-1,0.6967020609881729
hsv,B,Test,grate,-1,4.097367223695375,1,1,2,1,-1,0.9148791100597009
hsv,B,Test,grate,-1,0.44260313167026144,1,1,3,1,-1,0.3440468270564452
hsv,B,Test,grate,1,6.2180347291690286,0,2,2,1,1,1.0485626379959285
hsv,B,Test,grate,1,-5.670058906986984,1,1,3,0,-1,0.4382368539227173
hsv,B,Test,grate,-1,0.6807653002565713,1,1,2,1,-1,0.8717099680798128
hsv,B,Test,grate,1,-18.212285598649526,1,1,4,1,1,0.6963180219754577
hsv,B,Test,grate,-1,2.8756652678677783,-1,3,2,0,1,1.8209780210163444
hsv,B,Test,grate,1,0.9180772632512594,-1,3,3,0,-1,1.2016327970195562
hsv,B,Test,grate,1,-8.991407250869884,0,2,3,1,1,0.7747354920720682
hsv,B,Test,grate,-1,0.7375819107173732,0,2,2,0,1,1.9602142340736464
hsv,B,Test,grate,1,13.84761689099962,1,1,4,1,1,0.651135421008803
hsv,B,Test,grate,1,7.593838284420949,1,1,4,1,1,0.46029574901331216
hsv,B,Test,grate,1,30.961538771626124,1,1,4,1,1,0.16625075798947364
hsv,B,Test,grate,-1,4.649861496992853,0,2,2,0,1,1.0476495600305498
hsv,B,Test,grate,-1,-1.9321207281774053,-1,3,3,1,-1,1.2669144900282845
hsv,B,Test,grate,1,-6.809981058786107,-1,3,2,0,-1,1.1884227280970663
hsv,B,Test,grate,1,-26.481038894549393,0,2,4,1,1,0.44113901094533503
hsv,B,Test,grate,1,1.8890258914784357,1,1,3,0,-1,0.6228246300015599
hsv,B,Test,grate,1,-5.649144664776186,-1,3,2,1,1,2.2945801300229505
hsv,B,Test,grate,-1,4.444497410159019,0,2,3,1,-1,0.9823828319786116
hsv,B,Test,grate,1,14.849399983465617,1,1,4,1,1,0.7611451840493828
hsv,B,Test,grate,1,3.0419294906741774,1,1,3,0,-1,1.4070015079341829
hsv,B,Test,grate,-1,-3.219711467733566,-1,3,2,1,-1,2.420214822050184
hsv,B,Test,grate,-1,-0.3953317636645086,1,1,3,1,-1,3.4043912478955463
hsv,B,Test,grate,1,-21.33046339081232,1,1,4,1,1,0.41529648611322045
hsv,B,Test,grate,1,-8.972939630704028,1,1,4,1,1,0.3735966819804162
hsv,B,Test,grate,-1,1.4012712582338076,1,1,3,1,-1,0.8055685879662633
hsv,B,Test,grate,1,7.145058254624846,1,1,4,1,1,1.8807399990037084
